date,state,shape
2010-10-12,MA,disk
2010-10-12,TX,chevron
2010-10-12,FL,circle
2010-10-12,IA,light
2010-10-12,TN,light
2011-10-12,TX,changing
2011-10-12,TN,circle
2011-10-12,NC,light
2011-10-12,UT,disk
2011-10-12,SC,unknown
2011-10-12,TX,triangle
2011-10-12,MT,light
2012-10-12,FL,fireball
2012-10-12,IL,unknown
2012-10-12,PA,rectangle
2012-10-12,PA,circle
2012-10-12,TN,sphere
2012-10-12,TN,circle
2012-10-12,OR,cylinder
2012-10-12,PA,light
2012-10-12,OR,oval
2012-10-12,AZ,other
2012-10-12,AZ,light
2012-10-12,AZ,NA
2012-10-12,FL,chevron
2012-10-12,FL,cylinder
2012-10-12,ME,changing
2012-10-12,CT,light
2012-10-12,AZ,chevron
2012-10-12,MD,light
2012-10-12,WI,circle
2012-10-12,KY,NA
2012-10-12,OK,sphere
2012-10-12,FL,fireball
2012-10-12,MI,light
2012-10-12,AK,fireball
2012-10-12,WV,unknown
2012-10-12,NJ,circle
2012-10-12,PA,light
2012-10-12,CT,circle
2013-10-12,TX,unknown
2013-10-12,NY,light
2013-10-12,OH,triangle
2013-10-12,MO,fireball
2013-10-12,NY,disk
2013-10-12,AK,other
2013-10-12,MO,formation
2013-10-12,MI,triangle
2013-10-12,OH,changing
2013-10-12,PA,other
2013-10-12,OH,formation
2013-10-12,IN,light
2013-10-12,VA,triangle
2013-10-12,NC,light
2013-10-12,OH,formation
2013-10-12,TX,triangle
2013-10-12,OH,light
2013-10-12,OH,fireball
2013-10-12,OH,unknown
2013-10-12,OH,light
2013-10-12,OH,fireball
2013-10-12,IL,formation
2013-10-12,OH,unknown
2013-10-12,CO,formation
2013-10-12,CO,light
2013-10-12,OH,diamond
2013-10-12,GA,circle
2013-10-12,IL,other
2013-10-12,SC,circle
2013-10-12,CA,fireball
2013-10-13,OH,fireball
2013-10-13,CA,sphere
1971-10-13,CT,disk
1973-10-13,NC,oval
1990-10-13,MD,sphere
1994-10-13,MO,cylinder
1995-10-13,CA,NA
1995-10-13,NY,light
1995-10-13,WA,NA
1996-10-13,NV,triangle
1996-10-13,FL,circle
1996-10-13,OR,circle
1996-10-13,TX,diamond
1996-10-13,CA,triangle
1997-10-13,NV,other
1997-10-13,CA,light
1999-10-13,NM,disk
1999-10-13,KY,triangle
1999-10-13,PA,other
1999-10-13,WI,light
1999-10-13,MI,circle
2000-10-13,NY,circle
2000-10-13,OK,fireball
2000-10-13,KS,fireball
2000-10-13,KS,other
2000-10-13,TN,cylinder
2000-10-13,KY,triangle
2000-10-13,TX,cylinder
2000-10-13,OK,fireball
2000-10-13,PA,unknown
2000-10-13,TX,light
2000-10-13,TX,fireball
2000-10-13,OK,fireball
2000-10-13,OR,light
2000-10-13,FL,chevron
2000-10-13,PA,fireball
2000-10-13,OR,light
2001-10-13,NY,triangle
2001-10-13,AZ,triangle
2001-10-13,MN,light
2001-10-13,CA,triangle
2002-10-13,IN,light
2002-10-13,FL,triangle
2002-10-13,IL,fireball
2002-10-13,CA,cylinder
2002-10-13,NC,disk
2002-10-13,GA,light
2002-10-13,WA,changing
2002-10-13,NJ,triangle
2003-10-13,FL,cigar
2003-10-13,IN,light
2003-10-13,CO,triangle
2003-10-13,ID,oval
2003-10-13,CA,disk
2003-10-13,AZ,sphere
2003-10-13,NY,sphere
2003-10-13,UT,light
2003-10-13,CO,chevron
2003-10-13,OH,other
2003-10-13,IN,other
2003-10-13,CT,disk
2003-10-13,TX,light
2003-10-13,OH,rectangle
2004-10-13,FL,cigar
2004-10-13,TX,light
2004-10-13,CT,unknown
2004-10-13,PA,oval
2004-10-13,OR,disk
2004-10-13,AR,light
2004-10-13,ID,light
2004-10-13,WV,circle
2004-10-13,SC,chevron
2004-10-13,NY,rectangle
2004-10-14,AR,triangle
2005-10-13,AR,circle
2005-10-13,FL,light
2005-10-13,ID,chevron
2005-10-13,ID,disk
2005-10-13,OK,cylinder
2005-10-13,OK,cylinder
2005-10-13,AZ,light
2005-10-13,FL,other
2005-10-13,AL,changing
2005-10-13,CA,light
2005-10-13,MN,chevron
2005-10-13,CA,rectangle
2005-10-13,TX,other
2006-10-13,FL,cylinder
2006-10-13,ME,light
2006-10-13,CA,disk
2006-10-13,WA,unknown
